Title1,Title2,Title3,Title4,Title5,RegulatorRuleFullRequirement
High Level Standards,PRIN Principles for Businesses,PRIN 1 Introduction,PRIN 1.2 Clients and the Principles,Characteristics of the client,"Principles 6 (Customers' interests), 7 (Communications with clients), 8 (Conflicts of interest), 9 (Customers: relationships of trust) and 10 (Clients' assets) impose requirements on firms expressly in relation to their clients or customers. These requirements depend, in part, on the characteristics of the client or customer concerned. This is because what is ""due regard"" (in Principles 6 and 7), ""fairly"" (in Principles 6 and 8), ""clear, fair and not misleading"" (in Principle 7), ""reasonable care"" (in Principle 9) or ""adequate"" (in Principle 10) will, of course, depend on those characteristics. For example, the information needs of a general insurance broker will be different from those of a retail general insurance policyholder."
High Level Standards,PRIN Principles for Businesses,PRIN 1 Introduction,PRIN 1.2 Clients and the Principles,Approach to client categorisation3,"Principles 6, 8 and 9 and parts of Principle 7, as qualified by PRIN 3.4.1 R, apply only in relation to customers. The approach that a firm (other than for credit-related regulated activities, and regulated claims management activities10payment services and issuing electronic money (where not a regulated activity)11 in relation to which client categorisation does not apply)5 needs to take regarding categorisation3of clients into customers and eligible counterparties4 will depend on whether the firm is carrying on designated investment business, insurance risk transformation and activities directly arising from insurance risk transformation,9 or other activities, as described in PRIN 1.2.3 G."
High Level Standards,PRIN Principles for Businesses,PRIN 1 Introduction,PRIN 1.2 Clients and the Principles,Approach to client categorisation3,"In relation to the carrying on of designated investment business, insurance risk transformation and activities directly arising from insurance risk transformation9, a firm's categorisation of a client under the COBS client categorisation chapter (COBS 3) will be applicable for the purposes of Principles 6, 7, 8 and 9.3
In relation to the carrying on of insurance risk transformation and activities directly arising from insurance risk transformation, the COBS client categorisation chapter (COBS 3) applies as modified by COBS 18.6A.3R.9
Client categorisation under COBS 3 or PRIN 1 Annex 1 is not relevant to credit-related regulated activities and therefore the guidance on client categorisation does not apply in relation to a credit-related regulated activity. The definitions of client and customer in relation to those regulated activities reflect the modified meaning of “consumer” in articles 36J, 39M, 60LA, 60S7 and 89E of the Regulated Activities Order, as well as the definitions of  “individual” and of “relevant recipient of credit” in that Order.5
Client categorisation under COBS 3 or PRIN 1 Annex 1R is not relevant to regulated claims management activities and therefore the guidance on client categorisation does not apply in relation to a regulated claims management activity. 10
The person to whom a firm gives basic advice on a stakeholder product will be a retail client for all purposes, including the purposes of Principles 6, 7, 8 and 9.43
In relation to carrying on activities other than  designated investment business, insurance risk transformation or activities directly arising from insurance risk transformation9 (for example, general insurance business or accepting deposits) the firm may choose to comply with Principles 6, 7, 8 and 9 as if all its clients were customers. Alternatively, it may choose to distinguish between eligible counterparties and customers in complying with those Principles. If it chooses to make such a distinction, it must comply with PRIN 1 Annex 1 in determining whether that client is an eligible counterparty (see PRIN 3.4.2 R). In doing so, the requirements in SYSC will apply, including the requirement to make and retain adequate records.3
In relation to carrying on activities that fall within both (1) and (3) (for example, mixed designated investment business and accepting deposits), a firm's categorisation of a client under the COBSclient categorisation chapter (COBS 3) will be applicable for the purposes of Principles 6, 7, 8 and 9.3"
High Level Standards,PRIN Principles for Businesses,PRIN 1 Introduction,PRIN 1.2 Clients and the Principles,Approach to client categorisation3,"If the person with or for whom the firm is carrying on an activity is acting through an agent, the ability of the firm to treat the agent as its client under COBS 2.4.3 R (Agent as client) will not be available. For example, if a general insurer is effecting a general insurance contract through a general insurance broker who is acting as agent for a disclosed policyholder, the policyholder will be a client of the firm and the firm must comply with the Principles accordingly."
High Level Standards,PRIN Principles for Businesses,PRIN 2 The Principles,PRIN 2.1 The Principles,The Principles,"1 Integrity
A firm must conduct its business with integrity.
2 Skill, care and diligence
A firm must conduct its business with due skill, care and diligence.
3 Management and control
A firm must take reasonable care to organise and control its affairs responsibly and effectively, with adequate risk management systems.
4 Financial prudence
A firm  must maintain adequate financial resources.
5 Market conduct
A firm must observe proper standards of market conduct.
6 Customers' interests
A firm must pay due regard to the interests of its customers and treat them fairly.
7 Communications with clients
A firm must pay due regard to the information needs of its clients, and communicate information to them in a way which is clear, fair and not misleading.
8 Conflicts of interest
A firm must manage conflicts of interest fairly, both between itself and its customers and between a customer and another client.
9 Customers: relationships of trust
A firm must take reasonable care to ensure the suitability of its advice and discretionary decisions for any customer who is entitled to rely upon its judgment.
10 Clients' assets
A firm must arrange adequate protection for clients' assets when it is responsible for them.
11 Relations with regulators
A firm must deal with its regulators in an open and cooperative way, and must disclose to the FCA  appropriately anything relating to the firm of which that regulator would reasonably expect notice."
High Level Standards,PRIN Principles for Businesses,PRIN 3 Rules about application,PRIN 3.1 Who?,,"PRIN applies to every firm, except that:
for an incoming EEA firm or an incoming Treaty firm, the Principles apply only in so far as responsibility for the matter in question is not reserved by an EU instrument to the firm's Home State regulator;
for an incoming EEA firm which is a CRD credit institution8 without a top-up permission, Principle 4 does not apply;12
for an incoming EEA firm which has permission only for cross border services and which does not carry on regulated activities in the United Kingdom, the Principles do not apply;
for a UCITS qualifier and AIFM qualifier9, only  Principles 11, 2, 3, 7 and 9 apply, and only with respect to the activities in PRIN 3.2.2 R (Communication and approval of financial promotions);1
PRIN does not apply to an incoming ECA provider acting as such; and71
PRIN does not apply to a firm in relation to its carrying on of auction regulation bidding.7"
High Level Standards,PRIN Principles for Businesses,PRIN 3 Rules about application,PRIN 3.1 Who?,,PRIN applies to every firm.
High Level Standards,PRIN Principles for Businesses,PRIN 3 Rules about application,PRIN 3.1 Who?,,"PRIN applies to every firm, except that it does not apply to a firm in relation to its carrying on of auction regulation bidding."
High Level Standards,PRIN Principles for Businesses,PRIN 3 Rules about application,PRIN 3.1 Who?,,"PRIN also applies:
to an electronic money institution, an authorised payment institution, a small payment institution or a registered account information service provider; and
with the exception of Principle 4, and only in so far as responsibility for the matter in question is not reserved by the Payment Services Directive, Electronic Money Directive or other EU instrument to the person’s Home State regulator, to an EEA authorised electronic money institution, an EEA authorised payment institution and an EEA registered account information service provider."
High Level Standards,PRIN Principles for Businesses,PRIN 3 Rules about application,PRIN 3.1 Who?,,COBS 1 Annex 1 contains guidance that is relevant to1 the reservation of responsibility to a Home State regulator referred to in PRIN 3.1.1 R (1).
High Level Standards,PRIN Principles for Businesses,PRIN 3 Rules about application,PRIN 3.1 Who?,,PRIN 3.1.1 R (3) puts incoming EEA firms on an equal footing with unauthorised overseas persons who utilise the overseas persons exclusions in article 72 of the Regulated Activities Order.
High Level Standards,PRIN Principles for Businesses,PRIN 3 Rules about application,PRIN 3.1 Who?,,PRIN 3.1.1 R (4) reflects section 266 of the Act (Disapplication of rules).
High Level Standards,PRIN Principles for Businesses,PRIN 3 Rules about application,PRIN 3.1 Who?,,"A firm or other person17 will not be subject to a Principle to the extent that it would be contrary to the requirements of an EU measure passed or made before exit day, to the extent that those requirements continue to have effect after exit day under the EUWA.UK's obligations under an EU4 instrument.3"
High Level Standards,PRIN Principles for Businesses,PRIN 3 Rules about application,PRIN 3.1 Who?,,"A firm or other person17 will not be subject to a Principle to the extent that it would be contrary to the requirements of an EU measure passed or made before IP completion day19, to the extent that those requirements continue to have effect after IP completion day19 under the EUWA15."
High Level Standards,PRIN Principles for Businesses,PRIN 3 Rules about application,PRIN 3.1 Who?,,PRIN 4 provides specific guidance on the application of the Principles for MiFID business.
High Level Standards,PRIN Principles for Businesses,PRIN 3 Rules about application,PRIN 3.1 Who?,,"The Principles will not apply to the extent that they purport to impose an obligation which is inconsistent with the Payment Services Directive, the11 Consumer Credit Directive10 or the Electronic Money Directive.5 For example, there may be circumstances in which Principle 6 may be limited by the harmonised conduct of business obligations applied by the Payment Services Directive and the14 Electronic Money Directive5 to payment service providers and electronic money issuers17 (see Parts 6 and 714 of the Payment Services Regulations and Part 5 of the Electronic Money Regulations) or applied by the Consumer Credit Directive (see, for example, the information requirements in the Consumer Credit (Disclosure of Information) Regulations 2010 (SI 2010/1013)).105"
High Level Standards,PRIN Principles for Businesses,PRIN 3 Rules about application,PRIN 3.1 Who?,,"The Principles will not apply to the extent that they purport to impose an obligation which is inconsistent with requirements which implemented15 the Payment Services Directive, the11 Consumer Credit Directive10 or the Electronic Money Directive.5 For example, there may be circumstances in which Principle 6 may be limited by the conduct of business obligations derived from15 the Payment Services Directive and the14 Electronic Money Directive5 and applicable15 to payment service providers and electronic money issuers17 (see Parts 6 and 714 of the Payment Services Regulations and Part 5 of the Electronic Money Regulations) or derived from15 the Consumer Credit Directive (see, for example, the information requirements in the Consumer Credit (Disclosure of Information) Regulations 2010 (SI 2010/1013)).105"
High Level Standards,PRIN Principles for Businesses,PRIN 3 Rules about application,PRIN 3.1 Who?,,"PRIN applies to a TP firm, except that Principle 4 only applies to the extent that a TP firm is subject to rules relating to capital adequacy."
High Level Standards,PRIN Principles for Businesses,PRIN 3 Rules about application,PRIN 3.1 Who?,,"Only Principles 1, 2, 3, 7, 9 and 11 apply to a TP UCITS qualifier and a TP AIFM qualifier, and only with respect to the activities in PRIN 3.2.2R (Communication and approval of financial promotions)."
High Level Standards,PRIN Principles for Businesses,PRIN 3 Rules about application,PRIN 3.1 Who?,,"For the purposes of PRIN 3.1.9R, a TP firm should refer to GEN 2.2.30R and GEN 2.2.31G to determine which rules relating to capital adequacy apply to it."
High Level Standards,PRIN Principles for Businesses,PRIN 3 Rules about application,PRIN 3.2 What?,,"PRIN applies with respect to the carrying on of:
regulated activities;
activities that constitute dealing in investments as principal, disregarding the exclusion in article 15 of the Regulated Activities Order (Absence of holding out etc); 6
ancillary activities in relation to designated investment business, home finance activity, credit-related regulated activity, insurance distribution activity7 and accepting deposits; and6
activities directly arising from insurance risk transformation.6"
High Level Standards,PRIN Principles for Businesses,PRIN 3 Rules about application,PRIN 3.2 What?,,"Other than with respect to a firm that is a credit union, PRIN also applies with respect to:
the provision of payment services;
issuing of electronic money (where not the activity of issuing electronic money specified in article 9B of the Regulated Activities Order); and
activities connected to the provision of payment services and to the issuing of electronic money (whether or not the activity of issuing electronic money specified in article 9B of the Regulated Activities Order)."
High Level Standards,PRIN Principles for Businesses,PRIN 3 Rules about application,PRIN 3.2 What?,,"Issuing of electronic money will therefore be covered under either PRIN 3.2.1AR(1) where it is the regulated activity of issuing electronic money specified in article 9B of the Regulated Activities Order, or under PRIN 3.2.1BR where it is not that regulated activity."
High Level Standards,PRIN Principles for Businesses,PRIN 3 Rules about application,PRIN 3.2 What?,,"PRIN also applies with respect to the communication and approval of financial promotions which:
if communicated by an unauthorised person without approval would contravene section 21(1) of the Act (Restrictions on financial promotion); and
may be communicated by a firm without contravening section 238(1) of the Act (Restrictions on promotion of collective investment schemes)."
High Level Standards,PRIN Principles for Businesses,PRIN 3 Rules about application,PRIN 3.2 What?,,PRIN applies to the communication of promotions concerning payment services and electronic money.
High Level Standards,PRIN Principles for Businesses,PRIN 3 Rules about application,PRIN 3.2 What?,,"PRIN 1 Annex 1, PRIN 3.4.1 R and PRIN 3.4.2 R do not apply with respect to the carrying on of credit-related regulated activities or regulated claims management activities9, or to the provision of payment services or the issuing of electronic money (where not a regulated activity)10."
High Level Standards,PRIN Principles for Businesses,PRIN 3 Rules about application,PRIN 3.2 What?,,"Subject to PRIN 3.2.4R, Principles 3, 4 and (in so far as it relates to disclosing to the FCA5) 11 (and this chapter) also:
apply to firms10 with respect to the carrying on of unregulated activities (for Principle 3 this is only in a prudential context); and
for firms and other persons that are subject to the Principles,10 take into account any activity of other members of a group of which the firm is a member."
High Level Standards,PRIN Principles for Businesses,PRIN 3 Rules about application,PRIN 3.2 What?,,"In relation to an Annex II benchmark administrator which:
administers only benchmarks which are subject to Annex II to the benchmarks regulation; and
does not have permission to carry on any other regulated activities in relation to which Principle 11 applies,
Principle 11 (in so far as it relates to disclosing to the FCA) applies only to the regulated activity of administering a benchmark."
High Level Standards,PRIN Principles for Businesses,PRIN 3 Rules about application,PRIN 3.2 What?,,The FCA only expects an Annex II benchmark administrator subject to PRIN 3.2.4R to disclose information under Principle 11 which is relevant to the firm’s compliance with its obligations under the benchmarks regulation.
High Level Standards,PRIN Principles for Businesses,PRIN 3 Rules about application,PRIN 3.3 Where?,Territorial application of the Principles,"Principle
Territorial application
Principles 1, 2 and 3
in a prudential context, apply with respect to activities wherever they are carried on; otherwise, apply with respect to activities carried on from an establishment maintained by the firm (or its appointed representative) in the United Kingdom, or in respect of regulated claims management activities, apply with respect to activity carried on in Great Britain, even if the establishment from which it is carried on is not located in the UK (see PERG 2.4A), unless another applicable rule or EU regulation 5which is relevant to the activity has a wider territorial scope, in which case the Principle applies with that wider scope in relation to the activity described in that rule or EU regulation5.
Principle 4
applies with respect to activities wherever they are carried on.
Principle 5
if the activities have, or might reasonably be regarded as likely to have, a negative effect on confidence in the UK financial system4, applies with respect to activities wherever they are carried on; otherwise, applies with respect to activities carried on from an establishment maintained by the firm (or its appointed representative) in the United Kingdom, or in respect of regulated claims management activities, applies with respect to activity carried on in Great Britain, even if the establishment from which it is carried on is not located in the UK (see PERG 2.4A)6.
Principles 6, 7, 8, 9 and 10
Principle 8, in a prudential context, applies with respect to activities wherever they are carried on; otherwise apply with respect to activities carried on from an establishment maintained by the firm (or its appointed representative) in the United Kingdom, or in respect of regulated claims management activities, apply with respect to activity carried on in Great Britain, even if the establishment from which it is carried on is not located in the UK (see PERG 2.4A),6 unless another applicable rule or EU regulation 5which is relevant to the activity has a wider territorial scope, in which case the Principle applies with that wider scope in relation to the activity described in that rule or EU regulation5.
Principle 11
applies with respect to activities wherever they are carried on.2"
High Level Standards,PRIN Principles for Businesses,PRIN 3 Rules about application,PRIN 3.3 Where?,Territorial application of the Principles,"Principle Territorial application Principles 1, 2 and 3 in a prudential context, apply with respect to activities wherever they are carried on; otherwise, apply with respect to activities carried on from an establishment maintained by the firm (or its appointed representative) in the United Kingdom, or in respect of regulated claims management activities, apply with respect to activity carried on in Great Britain, even if the establishment from which it is carried on is not located in the UK (see PERG 2.4A), unless another applicable rule or onshored regulation7 which is relevant to the activity has a wider territorial scope, in which case the Principle applies with that wider scope in relation to the activity described in that rule or onshored regulation7. Principle 4 applies with respect to activities wherever they are carried on. Principle 5 if the activities have, or might reasonably be regarded as likely to have, a negative effect on confidence in the UK financial system4, applies with respect to activities wherever they are carried on; otherwise, applies with respect to activities carried on from an establishment maintained by the firm (or its appointed representative) in the United Kingdom, or in respect of regulated claims management activities, applies with respect to activity carried on in Great Britain, even if the establishment from which it is carried on is not located in the UK (see PERG 2.4A)6. Principles 6, 7, 8, 9 and 10 Principle 8, in a prudential context, applies with respect to activities wherever they are carried on; otherwise apply with respect to activities carried on from an establishment maintained by the firm (or its appointed representative) in the United Kingdom, or in respect of regulated claims management activities, apply with respect to activity carried on in Great Britain, even if the establishment from which it is carried on is not located in the UK (see PERG 2.4A),6 unless another applicable rule or onshored regulation7 which is relevant to the activity has a wider territorial scope, in which case the Principle applies with that wider scope in relation to the activity described in that rule or onshored regulation7. Principle 11 applies with respect to activities wherever they are carried on.2"
High Level Standards,PRIN Principles for Businesses,PRIN 3 Rules about application,PRIN 3.3 Where?,Territorial application of the Principles,"PRIN 3.3.1R applies to electronic money institutions, EEA authorised electronic institutions, payment institutions, registered account information service providers and EEA registered account information service providers as if the references to a firm were references to a person within that description, and references to an appointed representative were to an agent of such a person within the meaning of the Payment Services Regulations."
High Level Standards,PRIN Principles for Businesses,PRIN 3 Rules about application,PRIN 3.3 Where?,Territorial application of the Principles,"PRIN 3.3.1R applies to electronic money institutions, payment institutions and registered account information service providers10 as if the references to a firm were references to a person within that description, and references to an appointed representative were to an agent of such a person within the meaning of the Payment Services Regulations."
High Level Standards,PRIN Principles for Businesses,PRIN 3 Rules about application,PRIN 3.3 Where?,Territorial application of the Principles,"Notwithstanding PRIN 3.3.1R, PRIN applies to: a TP firm with respect to activities carried on from an establishment maintained by the firm (or its appointed representative) in the United Kingdom; a TP firm with respect to services provided into the United Kingdom by the firm (or its appointed representative) from an establishment in an EEA State; and a TP AIFM qualifier or a TP UCITS qualifier with respect to the firm’s activities in relation to the AIF or scheme in question, in the United Kingdom."
High Level Standards,PRIN Principles for Businesses,PRIN 3 Rules about application,PRIN 3.4 General,Clients and the Principles,"For business other than MiFID or equivalent third country business, the only requirement of Principle 7 relating to eligible counterparties3 is that a firm must communicate information to eligible counterparties3 in a way that is not misleading."
High Level Standards,PRIN Principles for Businesses,PRIN 3 Rules about application,PRIN 3.4 General,Clients and the Principles,Principle 7 applies in full to MiFID or equivalent third country business.
High Level Standards,PRIN Principles for Businesses,PRIN 3 Rules about application,PRIN 3.4 General,Clients and the Principles,"For the purposes of PRIN, a firm intending to carry on, or carrying on, activities that do not involve designated investment business, may treat a client as an eligible counterparty in accordance with PRIN 1 Annex 1 R."
High Level Standards,PRIN Principles for Businesses,PRIN 3 Rules about application,PRIN 3.4 General,Clients and the Principles,"COBS 3 (Client categorisation)2 applies to a firm intending to conduct, or conducting, designated investment business 2(other than giving basic advice),8ancillary activities relating to designated investment business and to a firm intending to carry on, or carrying on, insurance risk transformation and activities directly arising from insurance risk transformation8. Any client categorisation2established in relation to such business will be applicable for the purposes of Principles 6, 7, 8 and 9.1
The person to whom a firm gives basic advice2 will be a retail client3 for all purposes including the purposes of Principles 6, 7, 8 and 9.1
PRIN 3.4.1 R and PRIN 3.4.2 R do not apply with respect to the carrying on of credit-related regulated activities. Client categorisation does not apply in relation to carrying on a credit-related regulated activity. The definitions of client and customer in relation to those regulated activities reflect the modified meaning of “consumer” in articles 36J, 39M and 89E of the Regulated Activities Order, as well as the definitions of “individual” and of “relevant recipient of credit” in that Order.45
PRIN 3.4.1R and PRIN 3.4.2R do not apply with respect to the carrying on of regulated claims management activities. Client categorisation does not apply in relation to carrying on a regulated claims management activity.9
PRIN 3.4.1R and PRIN 3.4.2R do not apply with respect to the provision of payment services or the issuing of electronic money where it is not a regulated activity. Client categorisation does not apply in relation to carrying on of those activities. The definitions of customer in relation to those activities reflects the scope of the corporate opt out under the Payment Services Regulations. 10"
High Level Standards,PRIN Principles for Businesses,PRIN 3 Rules about application,PRIN 3.4 General,Guarantors etc,"Paragraph (2) applies in relation to an individual who:
has provided, or is to provide, a guarantee or an indemnity (or both) in relation to a regulated credit agreement, a regulated consumer hire agreement or a P2P agreement; and
is not the borrower or the hirer.
If the individual is not a customer, they are to be treated as if they were a customer for the purposes of Principles 6 and 7.
For the purposes of this rule, a guarantee does not include a legal or equitable mortgage or a pledge."
High Level Standards,PRIN Principles for Businesses,PRIN 3 Rules about application,PRIN 3.4 General,Actions for damages,A contravention of the rules in PRIN does not give rise to a right of action by a private person under section 138D of the Act (and each of those rules is specified under section 138D(3) of the Act as a provision giving rise to no such right of action).
High Level Standards,PRIN Principles for Businesses,PRIN 3 Rules about application,PRIN 3.4 General,"Reference to ""regulators"" in Principle 11","Where Principle 11 refers to regulators, this means, in addition to the FCA, other regulators with recognised jurisdiction in relation to regulated activities, payment services and electronic money10 whether in the United Kingdom or abroad."
High Level Standards,PRIN Principles for Businesses,PRIN 4 Principles: MiFID business,PRIN 4.1 Principles: MiFID business,,"PRIN 3.1.6 R ensures that the Principles do not impose obligations upon firms which are inconsistent with an5 EU 5 instrument4. If a Principle 6does purport to impose such an obligation PRIN 3.1.6 R disapplies that Principle but only to the extent necessary to ensure compliance with European law. This disapplication has practical effect only for certain matters covered by MiFID, which are explained in this section."
High Level Standards,PRIN Principles for Businesses,PRIN 4 Principles: MiFID business,PRIN 4.1 Principles: MiFID business,,"PRIN 3.1.6 R gives effect to the provisions of the EUWA concerning the continuing application of the principle of the supremacy of EU law. It7 ensures that the Principles do not impose obligations upon firms which are inconsistent with a relevant7 EU 5 measure7. If a Principle 6does purport to impose such an obligation PRIN 3.1.6 R disapplies that Principle but only to the extent necessary to ensure compatibility with the relevant EU measure7. This disapplication has practical effect only for certain matters covered by MiFID, which are explained in this section."
High Level Standards,PRIN Principles for Businesses,PRIN 4 Principles: MiFID business,PRIN 4.1 Principles: MiFID business,Where?,"Under PRIN 3.3.1 R, the territorial application of a number of Principles to a UK MiFID investment firm is extended to the extent that another applicable rule or EU regulation which is relevant to an activity has a wider territorial scope. Under PRIN 3.1.1 R, the territorial application of a number of Principles to an EEA MiFID investment firm is narrowed to the extent that responsibility for the matter in question is reserved to the firm's Home State regulator. These modifications are relevant to Principles 1, 2, 3, 6, 7, 8, 9 and 10. We have added further guidance in PERG on the ability of a Host State to impose conduct of business requirements (see Q67).3"
High Level Standards,PRIN Principles for Businesses,PRIN 4 Principles: MiFID business,PRIN 4.1 Principles: MiFID business,Where?,"Under PRIN 3.3.1 R, the territorial application of a number of Principles to a UK MiFID investment firm is extended to the extent that another applicable rule or onshored regulation which is relevant to an activity has a wider territorial scope. 7"
High Level Standards,PRIN Principles for Businesses,PRIN 4 Principles: MiFID business,PRIN 4.1 Principles: MiFID business,Where?,"Principles 4, 5 and 11 will have the same scope of territorial application for MiFID business as for other business."
